feature,importance
g_det_flux_mean,0.0018661202815356249
g_flux_diff_std,0.00186064836075176
z_flux_median,0.0018402970728843646
r_flux_p75,0.0018316023894875805
r_flux_diff_mean,0.0018219254986571952
u_flux_p10,0.0018175995382335242
z_frac_above_mean,0.0018106752134314041
i_err_mean,0.0017979165217895682
g_time_span,0.0017938675437086334
i_flux_min,0.0017740807153671157
r_trend_r2,0.001772420485240032
i_rms,0.0017703334503284109
r_flux_std,0.001748023371018754
color_u_g,0.00174224635047028
g_rise_rate,0.0017279025043795539
r_flux_p90,0.0017135628038895798
u_flux_kurtosis,0.0017107459632802512
i_cadence_mean,0.001709439621589888
y_snr_std,0.0016986334148731109
i_trend_r2,0.001697279170220192
z_cadence_std,0.0016920801433909078
u_det_flux_max,0.0016908534081054667
i_residual_std,0.0016874668335604694
i_flux_iqr,0.001685024548331894
u_residual_std,0.0016764010120609203
r_trend_slope,0.0016762961584501478
u_flux_diff_std,0.001675544505558136
g_snr_std,0.0016649929455917845
y_time_span,0.00162405860220321
y_err_std,0.0016222852696409248
u_flux_diff_mean,0.0016154321438797451
g_flux_iqr,0.0016098451347385005
color_peak_g_r,0.0015993962843037627
u_det_frac,0.0015930349866149318
u_flux_min,0.0015864132197233871
u_flux_std,0.001580337509366876
z_flux_max,0.0015760253262394291
color_u_i,0.0015743542894640168
z_snr_std,0.0015567378087472804
y_cadence_std,0.0015553458034109307
z_det_flux_mean,0.0015553153762844565
i_flux_range,0.00154358124888585
i_variability,0.0015381769100330117
i_snr_max,0.0015373290742822345
y_flux_kurtosis,0.0015284175790985888
u_peak_flux,0.0015267260390511345
u_cv,0.001523066089115619
u_cadence_mean,0.0015149540877423175
i_cadence_std,0.0015113434260858201
i_det_flux_max,0.0015064971113473561
color_peak_g_i,0.0015053246877370836
i_det_flux_mean,0.0015012390269137188
z_det_duration,0.0014937494472327553
i_flux_std,0.0014860830028087064
r_snr_std,0.0014756399031801036
y_err_mean,0.0014683790273272435
color_z_y,0.0014658308339506427
color_i_z,0.0014464863725885805
z_flux_mean,0.001432208121567665
g_flux_p75,0.0014200804923317418
i_trend_slope,0.0014166507877799383
g_flux_range,0.0014162637333611622
z_err_mean,0.0013988706778149183
z_rise_rate,0.0013917594979357072
i_flux_p90,0.001386300226940731
u_cadence_std,0.001385194728296931
total_detections,0.001384263044763392
